letter,octave,velocity,time_on,time_off,duration,note_number
A,3,127,3480,3580,100,45
A,3,127,3600,3718,118,45
D,4,127,3840,3964,124,50
C#,4,127,3960,4092,132,49
G,3,127,4080,4193,113,43
A,3,127,4200,4317,117,45
A,3,127,4440,4544,104,45
A,3,127,4560,4669,109,45
D,4,127,4800,4928,128,50
C#,4,127,4920,5047,127,49
G,3,127,5040,5144,104,43
A,3,127,5160,5278,118,45
A,3,127,5400,5495,95,45
A,3,127,5520,5647,127,45
D,4,127,5760,5895,135,50
C#,4,127,5880,6016,136,49
G,3,127,6000,6103,103,43
A,3,127,6120,6226,106,45
A,3,127,6360,6434,74,45
A,3,127,6480,6601,121,45
G,3,127,6720,6837,117,43
G,3,127,7080,7201,121,43
F#,3,127,7560,7669,109,42
G,3,127,7691,7807,116,43
B,3,127,7920,8034,114,47
G,3,127,8042,8187,145,43
D,4,127,8640,8765,125,50
C#,4,127,8760,8907,147,49
G,3,127,8880,9003,123,43
A,3,127,9000,9095,95,45
A,3,127,9240,9340,100,45
A,3,127,9360,9478,118,45
D,4,127,9600,9724,124,50
C#,4,127,9720,9852,132,49
G,3,127,9840,9953,113,43
A,3,127,9960,10077,117,45
A,3,127,10200,10304,104,45
A,3,127,10320,10429,109,45
D,4,127,10560,10688,128,50
C#,4,127,10680,10807,127,49
G,3,127,10800,10904,104,43
A,3,127,10920,11038,118,45
A,3,127,11160,11255,95,45
A,3,127,11280,11407,127,45
D,4,127,11520,11655,135,50
C#,4,127,11640,11776,136,49
G,3,127,11760,11863,103,43
A,3,127,11880,11986,106,45
A,3,127,12120,12194,74,45
A,3,127,12240,12361,121,45
F#,3,127,12360,12466,106,42
G,3,127,12480,12597,117,43
B,3,127,12720,12834,114,47
G,3,127,12840,12961,121,43
F#,3,127,13320,13429,109,42
G,3,127,13451,13567,116,43
B,3,127,13680,13794,114,47
G,3,127,13802,13947,145,43
D,4,127,14400,14525,125,50
C#,4,127,14520,14667,147,49
G,3,127,14640,14763,123,43
A,3,127,14760,14855,95,45
A,3,127,15000,15100,100,45
A,3,127,15120,15238,118,45
D,4,127,15360,15484,124,50
C#,4,127,15480,15612,132,49
G,3,127,15600,15713,113,43
A,3,127,15720,15837,117,45
A,3,127,15960,16064,104,45
A,3,127,16080,16189,109,45
D,4,127,16320,16448,128,50
C#,4,127,16440,16567,127,49
G,3,127,16560,16664,104,43
A,3,127,16680,16798,118,45
A,3,127,16920,17015,95,45
A,3,127,17040,17167,127,45
D,4,127,17280,17415,135,50
C#,4,127,17400,17536,136,49
G,3,127,17520,17623,103,43
A,3,127,17640,17746,106,45
A,3,127,17880,17954,74,45
A,3,127,18000,18121,121,45
F#,3,127,18120,18226,106,42
G,3,127,18240,18357,117,43
B,3,127,18480,18594,114,47
G,3,127,18600,18721,121,43
F#,3,127,19080,19189,109,42
G,3,127,19211,19327,116,43
B,3,127,19440,19554,114,47
G,3,127,19562,19707,145,43
D,4,127,20160,20285,125,50
C#,4,127,20280,20427,147,49
G,3,127,20400,20523,123,43
A,3,127,20520,20615,95,45
A,3,127,20760,20860,100,45
A,3,127,20880,20998,118,45
D,4,127,21120,21244,124,50
C#,4,127,21240,21372,132,49
G,3,127,21360,21473,113,43
A,3,127,21480,21597,117,45
A,3,127,21720,21824,104,45
A,3,127,21840,21949,109,45
D,4,127,22080,22208,128,50
C#,4,127,22200,22327,127,49
G,3,127,22320,22424,104,43
A,3,127,22440,22558,118,45
A,3,127,22680,22775,95,45
A,3,127,22800,22927,127,45
D,4,127,23040,23175,135,50
C#,4,127,23160,23296,136,49
G,3,127,23280,23383,103,43
A,3,127,23400,23506,106,45
A,3,127,23640,23714,74,45
A,3,127,23760,23881,121,45
F#,3,127,23880,23986,106,42
G,3,127,24000,24117,117,43
B,3,127,24240,24354,114,47
G,3,127,24360,24481,121,43
F#,3,127,24840,24949,109,42
G,3,127,24971,25087,116,43
B,3,127,25200,25314,114,47
G,3,127,25322,25467,145,43
D,4,127,25920,26013,93,50
B,4,127,26760,26884,124,59
D,4,127,26880,26986,106,50
D,5,127,27120,27241,121,62
A,4,127,27240,27332,92,57
D,4,127,27840,27931,91,50
D,5,127,28080,28204,124,62
A,4,127,28200,28303,103,57
B,4,127,28440,28571,131,59
C,5,127,28560,28700,140,60
B,4,127,28680,28798,118,59
D,4,127,28800,28905,105,50
D,4,127,29146,29210,64,50
A,4,127,29424,29548,124,57
D,5,127,29515,29659,144,62
D,4,127,29760,29872,112,50
D,5,127,30000,30125,125,62
