letter,octave,velocity,time_on,time_off,duration,note_number
E,5,127,2280,2400,120,64
A,5,127,2400,3360,960,69
A,5,127,4320,5220,900,69
E,5,127,8040,8070,30,64
A,5,127,8160,8610,450,69
C,6,127,9960,9990,30,72
B,5,127,10020,10050,30,71
A,5,127,10080,10530,450,69
E,5,127,11880,11910,30,64
A,5,127,12000,12450,450,69
C,6,127,13800,13830,30,72
B,5,127,13860,13890,30,71
A,5,127,13920,14370,450,69
E,5,127,15720,15750,30,64
A,5,127,15840,16290,450,69
C,6,127,19560,19590,30,72
B,5,127,19620,19650,30,71
A,5,127,19680,20130,450,69
E,5,127,21480,21510,30,64
A,5,127,21600,22050,450,69
C,6,127,23400,23430,30,72
B,5,127,23460,23490,30,71
A,5,127,23520,23970,450,69
E,5,127,25320,25350,30,64
A,5,127,25440,25890,450,69
C,6,127,27240,27270,30,72
B,5,127,27300,27330,30,71
A,5,127,27360,27810,450,69
E,5,127,29160,29190,30,64
A,5,127,29280,29730,450,69
C,6,127,33000,33030,30,72
B,5,127,33060,33090,30,71
A,5,127,33120,33570,450,69
E,5,127,34920,34950,30,64
A,5,127,35040,35490,450,69
C,6,127,36840,36870,30,72
B,5,127,36900,36930,30,71
A,5,127,36960,37410,450,69
E,5,127,38760,38790,30,64
A,5,127,38880,39330,450,69
C,6,127,40680,40710,30,72
B,5,127,40740,40770,30,71
A,5,127,40800,41250,450,69
E,5,127,42600,42630,30,64
A,5,127,42720,43170,450,69
C,6,127,46440,46470,30,72
B,5,127,46500,46530,30,71
A,5,127,46560,47010,450,69
E,5,127,48360,48390,30,64
A,5,127,48480,48930,450,69
B,2,127,960,1080,120,35
A,2,127,1200,1380,180,33
C,3,127,1440,1695,255,36
A,2,127,1680,1920,240,33
E,2,127,2040,2160,120,28
A,2,127,2160,2385,225,33
A,2,127,2400,2640,240,33
B,2,127,2640,2865,225,35
B,2,127,2880,3000,120,35
D,3,127,3000,3060,60,38
C,3,127,3060,3120,60,36
A,2,127,3120,3300,180,33
E,2,127,3300,3360,60,28
C,3,127,3360,3615,255,36
A,2,127,3600,3840,240,33
G#,2,127,3840,3960,120,32
E,2,127,3960,4080,120,28
A,2,127,4080,4305,225,33
A,2,127,4320,4560,240,33
B,2,127,4560,4785,225,35
B,2,127,4800,4920,120,35
D,3,127,4920,4980,60,38
C,3,127,4980,5040,60,36
A,2,127,5040,5220,180,33
E,2,127,5220,5280,60,28
C,3,127,5280,5535,255,36
A,2,127,5520,5760,240,33
G#,2,127,5760,5880,120,32
E,2,127,5880,6000,120,28
A,2,127,6000,6225,225,33
A,2,127,6240,6480,240,33
B,2,127,6480,6705,225,35
B,2,127,6720,6840,120,35
D,3,127,6840,6900,60,38
C,3,127,6900,6960,60,36
A,2,127,6960,7140,180,33
E,2,127,7140,7200,60,28
C,3,127,7200,7455,255,36
A,2,127,7440,7680,240,33
G#,2,127,7680,7800,120,32
E,2,127,7800,7920,120,28
A,2,127,7920,8145,225,33
A,2,127,8160,8400,240,33
B,2,127,8400,8640,240,35
B,2,127,8640,8760,120,35
D,3,127,8760,8820,60,38
C,3,127,8820,8880,60,36
A,2,127,8880,9060,180,33
E,2,127,9060,9120,60,28
C,3,127,9120,9390,270,36
A,2,127,9360,9600,240,33
G#,2,127,9600,9720,120,32
E,2,127,9720,9840,120,28
A,2,127,9840,10080,240,33
A,2,127,10080,10320,240,33
B,2,127,10320,10560,240,35
B,2,127,10560,10680,120,35
D,3,127,10680,10740,60,38
C,3,127,10740,10800,60,36
A,2,127,10800,10980,180,33
E,2,127,10980,11040,60,28
C,3,127,11040,11310,270,36
A,2,127,11280,11520,240,33
G#,2,127,11520,11640,120,32
E,2,127,11640,11760,120,28
A,2,127,11760,12000,240,33
A,2,127,12000,12240,240,33
B,2,127,12240,12480,240,35
B,2,127,12480,12600,120,35
D,3,127,12600,12660,60,38
C,3,127,12660,12720,60,36
A,2,127,12720,12900,180,33
E,2,127,12900,12960,60,28
C,3,127,12960,13230,270,36
A,2,127,13200,13440,240,33
G#,2,127,13440,13560,120,32
E,2,127,13560,13680,120,28
A,2,127,13680,13920,240,33
A,2,127,13920,14160,240,33
B,2,127,14160,14400,240,35
B,2,127,14400,14520,120,35
D,3,127,14520,14580,60,38
C,3,127,14580,14640,60,36
A,2,127,14640,14820,180,33
E,2,127,14820,14880,60,28
C,3,127,14880,15150,270,36
A,2,127,15120,15360,240,33
G#,2,127,15360,15480,120,32
E,2,127,15480,15600,120,28
A,2,127,15600,15840,240,33
A,2,127,15840,16080,240,33
B,2,127,16080,16320,240,35
B,2,127,16320,16440,120,35
D,3,127,16440,16500,60,38
C,3,127,16500,16560,60,36
