letter,octave,velocity,time_on,time_off,duration,note_number
G#,5,58,1355,1365,10,68
D#,5,70,1355,1366,11,63
G#,5,62,1396,1405,9,68
D#,5,66,1396,1406,10,63
D#,5,74,1438,1534,96,63
F,5,66,1561,1572,11,65
D#,5,70,1561,1572,11,63
D#,5,70,1601,1611,10,63
F,5,62,1602,1612,10,65
F,5,66,1641,1652,11,65
D#,5,70,1641,1654,13,63
F,5,70,1685,1695,10,65
D#,5,74,1686,1700,14,63
A#,5,50,1858,1881,23,70
A#,6,48,2033,2318,285,82
A,6,57,24733,24799,66,81
A,6,46,24855,24928,73,81
G#,6,55,24923,24983,60,80
A,6,53,24983,25043,60,81
G#,6,54,25040,25103,63,80
A,6,53,25103,25168,65,81
F,6,56,25161,25226,65,77
G#,6,56,25226,25284,58,80
F,6,48,25284,25344,60,77
G#,6,59,25343,25401,58,80
F,6,56,25403,25465,62,77
G#,6,67,25465,25521,56,80
F,6,53,25522,25585,63,77
G#,6,59,25584,25645,61,80
F,6,48,25646,25709,63,77
G#,6,59,25710,25763,53,80
F,6,45,25765,25825,60,77
A,6,56,25825,25884,59,81
F,6,53,25885,25946,61,77
A#,4,114,782,804,22,58
A#,4,114,842,867,25,58
A#,4,114,882,899,17,58
A#,4,114,922,938,16,58
A#,4,114,962,1109,147,58
F,5,114,1147,1162,15,65
F,5,114,1205,1305,100,65
A#,5,114,1204,1334,130,70
D#,5,114,1320,1337,17,63
G#,5,114,1362,1375,13,68
D#,5,114,1363,1378,15,63
D#,5,114,1402,1415,13,63
G#,5,114,1400,1415,15,68
A#,5,114,1441,1458,17,70
A#,5,114,1483,1498,15,70
A#,5,114,1519,1537,18,70
D#,5,114,1441,1543,102,63
D#,5,114,1565,1580,15,63
D#,5,114,1606,1621,15,63
D#,5,114,1645,1659,14,63
D#,5,114,1684,1759,75,63
A#,5,114,1563,1769,206,70
G#,5,114,3480,3498,18,68
C,6,114,3490,3506,16,72
C,6,114,3566,3582,16,72
G#,5,114,3565,3584,19,68
F,5,114,3607,3819,212,65
A,5,114,3605,3820,215,69
D,4,87,4083,4137,54,50
D,4,87,4198,4249,51,50
D,4,87,4294,4302,8,50
D,4,87,4317,4332,15,50
D,4,87,4363,4376,13,50
D,4,87,4398,4414,16,50
G,4,87,4686,4772,86,55
F,4,87,4797,4879,82,53
D#,4,87,4920,5008,88,51
D#,4,87,5040,5052,12,51
D#,5,87,5040,5053,13,63
D#,4,87,5081,5093,12,51
D#,5,87,5081,5094,13,63
D#,5,87,5118,5132,14,63
D#,4,87,5118,5132,14,51
A#,4,87,5160,5252,92,58
D,5,87,5278,5291,13,62
A#,4,87,5280,5295,15,58
A#,4,87,5317,5331,14,58
D,5,87,5316,5331,15,62
D,5,87,5355,5369,14,62
A#,4,87,5357,5375,18,58
C,6,87,5398,5413,15,72
G#,5,87,5398,5417,19,68
B,5,87,5440,5454,14,71
G,5,87,5440,5456,16,67
C,6,87,5481,5497,16,72
G#,5,87,5480,5498,18,68
A,5,87,5521,5725,204,69
F,5,87,5521,5729,208,65
D#,5,38,5882,5982,100,63
G,4,49,5881,5984,103,55
D#,5,50,6002,6206,204,63
G,4,51,6002,6207,205,55
D#,5,54,6236,6336,100,63
G,4,50,6235,6340,105,55
G,4,54,6356,6523,167,55
D#,5,56,6356,6527,171,63
G,4,65,6542,6584,42,55
A,4,63,6598,6776,178,57
F,5,66,6598,6778,180,65
A,4,68,6785,6816,31,57
G,4,71,6841,6894,53,55
D#,5,71,6840,6900,60,63
G,4,75,6960,7171,211,55
D#,5,75,6959,7178,219,63
G,4,81,7198,7294,96,55
D#,5,79,7196,7296,100,63
A,4,86,7437,7542,105,57
D#,5,88,7553,7678,125,63
G,4,88,7552,7679,127,55
A,4,92,7676,7776,100,57
C,5,92,7676,7782,106,60
G,4,95,7803,7917,114,55
A,4,98,7919,7977,58,57
A#,4,99,7973,8037,64,58
D#,5,95,7805,8080,275,63
D,5,101,8087,8144,57,62
C,5,103,8155,8201,46,60
D,5,104,8203,8260,57,62
A#,4,104,8202,8263,61,58
D#,5,104,8269,8389,120,63
A#,4,104,8270,8490,220,58
F,5,104,8386,8614,228,65
C,5,104,8510,8619,109,60
F,4,104,8386,8624,238,53
F,5,103,8643,8694,51,65
F,5,103,8732,8752,20,65
F,5,103,8853,8871,18,65
G#,5,103,8857,8874,17,68
F#,5,103,8885,8958,73,66
D#,5,103,8887,8960,73,63
C#,5,103,8971,8987,16,61
F,5,103,8971,8991,20,65
D#,5,103,9006,9069,63,63
C,5,103,9007,9073,66,60
A#,4,103,9088,9104,16,58
C#,5,103,9097,9115,18,61
C,5,103,9125,9169,44,60
G#,4,103,9120,9169,49,56
A#,5,103,8756,9184,428,70
A#,4,103,9208,9219,11,58
C,5,121,12461,12473,12,60
C,5,112,12488,12613,125,60
A,4,127,12613,12643,30,57
C,5,112,12703,12714,11,60
C,5,118,12733,12851,118,60
A,4,126,12848,12882,34,57
D#,5,112,12931,12947,16,63
D#,5,96,12960,13093,133,63
D,5,107,13086,13128,42,62
D#,5,101,13148,13183,35,63
D,5,102,13173,13205,32,62
C,5,121,13203,13233,30,60
A,4,124,13265,13360,95,57
D,5,43,13930,14276,346,62
G,4,126,13933,14300,367,55
A#,4,108,16630,16643,13,58
D,5,127,16631,16644,13,62
A#,4,103,16650,16663,13,58
D,5,127,16651,16664,13,62
A#,4,114,16670,16683,13,58
D,5,127,16671,16684,13,62
D#,5,127,16690,16703,13,63
B,4,108,16690,16703,13,59
B,4,114,16710,16722,12,59
D#,5,127,16711,16723,12,63
B,4,127,16729,16742,13,59
D#,5,127,16730,16743,13,63
