letter,octave,velocity,time_on,time_off,duration,note_number
E,3,120,120,207,87,40
E,3,110,240,324,84,40
E,3,110,360,441,81,40
E,3,100,480,570,90,40
E,3,100,600,687,87,40
E,3,100,720,804,84,40
E,3,100,840,921,81,40
E,3,100,960,1050,90,40
E,3,100,1080,1167,87,40
E,3,100,1200,1284,84,40
E,3,100,1320,1401,81,40
E,3,100,1440,1530,90,40
E,3,100,1560,1647,87,40
E,3,100,1680,1764,84,40
E,3,100,1800,1881,81,40
E,3,100,1920,2010,90,40
E,3,100,2040,2127,87,40
E,3,100,2160,2244,84,40
E,3,100,2280,2361,81,40
E,3,100,2400,2490,90,40
E,3,100,2520,2607,87,40
E,3,100,2640,2724,84,40
E,3,100,2760,2841,81,40
E,3,100,2880,2970,90,40
E,3,100,3000,3087,87,40
E,3,100,3120,3204,84,40
E,3,100,3240,3321,81,40
E,3,100,3360,3450,90,40
E,3,100,3480,3567,87,40
E,3,100,3600,3684,84,40
E,3,100,3720,3801,81,40
E,3,100,3840,3930,90,40
E,3,100,3960,4047,87,40
E,3,100,4080,4164,84,40
E,3,100,4200,4281,81,40
E,3,100,4320,4410,90,40
E,3,100,4440,4527,87,40
E,3,100,4560,4644,84,40
E,3,100,4680,4761,81,40
E,3,100,4800,4890,90,40
E,3,100,4920,5007,87,40
E,3,100,5040,5124,84,40
E,3,100,5160,5241,81,40
E,3,100,5280,5370,90,40
E,3,100,5400,5487,87,40
E,3,100,5520,5604,84,40
E,3,100,5640,5721,81,40
E,3,100,5760,5850,90,40
E,3,100,5880,5967,87,40
E,3,100,6000,6084,84,40
E,3,100,6120,6201,81,40
E,3,100,6240,6330,90,40
E,3,100,6360,6447,87,40
E,3,100,6480,6564,84,40
E,3,100,6600,6681,81,40
E,3,100,6720,6810,90,40
E,3,100,6840,6927,87,40
E,3,100,6960,7044,84,40
E,3,100,7080,7161,81,40
E,3,100,7200,7290,90,40
E,3,100,7320,7407,87,40
E,3,100,7440,7524,84,40
E,3,100,7560,7641,81,40
E,3,127,7680,7796,116,40
E,3,120,7800,7887,87,40
E,3,120,7920,8004,84,40
E,3,120,8040,8121,81,40
E,3,120,8160,8250,90,40
E,3,120,8280,8367,87,40
E,3,120,8400,8484,84,40
E,3,120,8520,8601,81,40
E,3,120,8640,8730,90,40
E,3,120,8760,8847,87,40
E,3,120,8880,8964,84,40
E,3,120,9000,9081,81,40
E,3,120,9120,9210,90,40
E,3,120,9240,9327,87,40
E,3,120,9360,9444,84,40
E,3,120,9480,9561,81,40
E,3,120,9600,9690,90,40
E,3,120,9720,9807,87,40
E,3,120,9840,9924,84,40
E,3,120,9960,10041,81,40
E,3,120,10080,10170,90,40
E,3,120,10200,10287,87,40
E,3,120,10320,10404,84,40
E,3,120,10440,10521,81,40
E,3,120,10560,10650,90,40
E,3,120,10680,10767,87,40
E,3,120,10800,10884,84,40
E,3,120,10920,11001,81,40
E,3,120,11040,11130,90,40
E,3,120,11160,11247,87,40
E,3,120,11280,11364,84,40
E,3,120,11400,11481,81,40
E,3,120,11520,11610,90,40
E,3,120,11640,11727,87,40
E,3,120,11760,11844,84,40
E,3,120,11880,11961,81,40
E,3,120,12000,12090,90,40
E,3,120,12120,12207,87,40
E,3,120,12240,12324,84,40
E,3,120,12360,12441,81,40
E,3,120,12480,12570,90,40
E,3,120,12600,12687,87,40
E,3,120,12720,12804,84,40
E,3,120,12840,12921,81,40
E,3,120,12960,13050,90,40
E,3,120,13080,13167,87,40
E,3,120,13200,13284,84,40
E,3,120,13320,13401,81,40
E,3,120,13440,13530,90,40
E,3,120,13560,13647,87,40
E,3,120,13680,13764,84,40
E,3,120,13800,13881,81,40
E,3,120,13920,14010,90,40
E,3,120,14040,14127,87,40
E,3,120,14160,14244,84,40
E,3,120,14280,14361,81,40
E,3,120,14400,14490,90,40
E,3,120,14520,14607,87,40
E,3,120,14640,14724,84,40
E,3,120,14760,14841,81,40
E,3,120,14880,14970,90,40
E,3,120,15000,15087,87,40
E,3,120,15120,15204,84,40
E,3,120,15240,15321,81,40
E,3,120,15360,15450,90,40
E,3,120,15480,15567,87,40
E,3,120,15600,15684,84,40
E,3,120,15720,15801,81,40
E,3,120,15840,15930,90,40
E,3,120,15960,16047,87,40
E,3,120,16080,16164,84,40
E,3,120,16200,16281,81,40
E,3,120,16320,16410,90,40
E,3,120,16440,16527,87,40
E,3,120,16560,16644,84,40
E,3,120,16680,16761,81,40
E,3,120,16800,16890,90,40
E,3,120,16920,17007,87,40
E,3,120,17040,17124,84,40
E,3,120,17160,17241,81,40
E,3,120,17280,17370,90,40
E,3,120,17400,17487,87,40
E,3,120,17520,17604,84,40
E,3,120,17640,17721,81,40
E,3,120,17760,17850,90,40
E,3,120,17880,17967,87,40
E,3,120,18000,18084,84,40
E,3,120,18120,18201,81,40
E,3,120,18240,18330,90,40
E,3,120,18360,18447,87,40
E,3,120,18480,18564,84,40
E,3,120,18600,18681,81,40
E,3,120,18720,18810,90,40
E,3,120,18840,18927,87,40
E,3,120,18960,19044,84,40
E,3,120,19080,19161,81,40
E,3,120,19200,19290,90,40
E,3,120,19320,19407,87,40
E,3,120,19440,19524,84,40
E,3,120,19560,19641,81,40
E,3,120,19680,19770,90,40
E,3,120,19800,19887,87,40
E,3,120,19920,20004,84,40
E,3,120,20040,20121,81,40
E,3,120,20160,20250,90,40
E,3,120,20280,20367,87,40
E,3,120,20400,20484,84,40
E,3,120,20520,20601,81,40
E,3,120,20640,20730,90,40
E,3,120,20760,20847,87,40
E,3,120,20880,20964,84,40
E,3,120,21000,21081,81,40
E,3,120,21120,21210,90,40
E,3,120,21240,21327,87,40
E,3,120,21360,21444,84,40
E,3,120,21480,21561,81,40
E,3,120,21600,21690,90,40
E,3,120,21720,21807,87,40
E,3,120,21840,21924,84,40
E,3,120,21960,22041,81,40
E,3,120,22080,22170,90,40
E,3,120,22200,22287,87,40
E,3,120,22320,22404,84,40
E,3,120,22440,22521,81,40
E,3,120,22560,22650,90,40
E,3,120,22680,22767,87,40
E,3,120,22800,22884,84,40
E,3,120,22920,23001,81,40
E,3,120,23040,23130,90,40
E,3,120,23160,23247,87,40
E,3,120,23280,23364,84,40
E,3,120,23400,23481,81,40
E,3,120,23520,23610,90,40
E,3,120,23640,23727,87,40
E,3,120,23760,23844,84,40
E,3,120,23880,23961,81,40
E,3,120,24000,24090,90,40
E,3,120,24120,24207,87,40
E,3,120,24240,24324,84,40
E,3,120,24360,24441,81,40
E,3,120,24480,24570,90,40
E,3,120,24600,24687,87,40
E,3,120,24720,24804,84,40
E,3,120,24840,24921,81,40
E,3,120,24960,25050,90,40
E,3,120,25080,25167,87,40
E,3,120,25200,25284,84,40
E,3,120,25320,25401,81,40
E,3,120,25440,25530,90,40
E,3,120,25560,25647,87,40
E,3,120,25680,25764,84,40
E,3,120,25800,25881,81,40
E,3,120,25920,26010,90,40
E,3,120,26040,26127,87,40
E,3,120,26160,26244,84,40
E,3,120,26280,26361,81,40
E,3,120,26400,26490,90,40
E,3,120,26520,26607,87,40
E,3,120,26640,26724,84,40
E,3,120,26760,26841,81,40
E,3,120,26880,26970,90,40
E,3,120,27000,27087,87,40
E,3,120,27120,27204,84,40
E,3,120,27240,27321,81,40
E,3,120,27360,27450,90,40
E,3,120,27480,27567,87,40
E,3,120,27600,27684,84,40
E,3,120,27720,27801,81,40
E,3,120,27840,27930,90,40
E,3,120,27960,28047,87,40
E,3,120,28080,28164,84,40
E,3,120,28200,28281,81,40
E,3,120,28320,28410,90,40
E,3,120,28440,28527,87,40
E,3,120,28560,28644,84,40
E,3,120,28680,28761,81,40
E,3,120,28800,28890,90,40
E,3,120,28920,29007,87,40
E,3,120,29040,29124,84,40
E,3,120,29160,29241,81,40
E,3,120,29280,29370,90,40
E,3,120,29400,29487,87,40
E,3,120,29520,29604,84,40
E,3,120,29640,29721,81,40
E,3,120,29760,29850,90,40
E,3,120,29880,29967,87,40
E,3,120,30000,30084,84,40
