letter,octave,velocity,time_on,time_off,duration,note_number
A,5,117,60,90,30,69
A,5,117,120,150,30,69
A,5,117,300,330,30,69
A,5,117,360,390,30,69
G,5,117,420,450,30,67
A,5,117,480,510,30,69
A,5,117,540,570,30,69
A,5,117,600,630,30,69
G,5,117,660,780,120,67
A,5,117,780,810,30,69
A#,5,117,810,840,30,70
A,5,117,840,870,30,69
G,5,117,900,930,30,67
A,5,117,960,990,30,69
A,5,117,1020,1050,30,69
A,5,117,1080,1110,30,69
G,5,117,1140,1260,120,67
A,5,117,1260,1290,30,69
A#,5,117,1290,1320,30,70
A,5,117,1320,1350,30,69
G,5,117,1380,1410,30,67
A,5,117,1440,1470,30,69
A,5,117,1500,1530,30,69
A,5,117,1560,1590,30,69
G,5,117,1620,1740,120,67
A,5,117,1740,1770,30,69
A#,5,117,1770,1800,30,70
A,5,117,1800,1830,30,69
G,5,117,1860,1890,30,67
A,5,117,1920,1950,30,69
A,5,117,1980,2010,30,69
A,5,117,2040,2070,30,69
G,5,117,2100,2220,120,67
A,5,117,2220,2250,30,69
A#,5,117,2250,2280,30,70
A,5,117,2280,2310,30,69
G,5,117,2340,2370,30,67
A,5,117,2400,2430,30,69
A,5,117,2460,2490,30,69
A,5,117,2520,2550,30,69
G,5,117,2580,2700,120,67
A,5,117,2700,2730,30,69
A#,5,117,2730,2760,30,70
A,5,117,2760,2790,30,69
G,5,117,2820,2850,30,67
A,5,117,2880,3240,360,69
A,5,117,14640,14670,30,69
A,5,117,14700,14730,30,69
A,5,117,14760,14790,30,69
G,5,117,14820,14940,120,67
A,5,117,14940,14970,30,69
A#,5,117,14970,15000,30,70
A,5,117,15000,15030,30,69
G,5,117,15060,15090,30,67
A,5,117,15120,15150,30,69
A,5,117,15180,15210,30,69
A,5,117,15240,15270,30,69
G,5,117,15300,15420,120,67
A,5,117,15420,15450,30,69
A#,5,117,15450,15480,30,70
A,5,117,15480,15510,30,69
G,5,117,15540,15570,30,67
A,5,117,15600,15630,30,69
A,5,117,15660,15690,30,69
A,5,117,15720,15750,30,69
G,5,117,15780,15900,120,67
A,5,117,15900,15930,30,69
A#,5,117,15930,15960,30,70
A,5,117,15960,15990,30,69
G,5,117,16020,16050,30,67
A,5,117,16080,16110,30,69
A,5,117,16140,16170,30,69
A,5,117,16200,16230,30,69
G,5,117,16260,16380,120,67
A,5,117,16380,16410,30,69
A#,5,117,16410,16440,30,70
A,5,117,16440,16470,30,69
G,5,117,16500,16530,30,67
A,5,117,16560,16590,30,69
A,5,117,16620,16650,30,69
A,5,117,16680,16710,30,69
G,5,117,16740,16860,120,67
A,5,117,16860,16890,30,69
A#,5,117,16890,16920,30,70
A,5,117,16920,16950,30,69
G,5,117,16980,17010,30,67
A,5,117,17040,17070,30,69
A,5,117,17100,17130,30,69
A,5,117,17160,17190,30,69
G,5,117,17220,17340,120,67
A,5,117,17340,17370,30,69
A#,5,117,17370,17400,30,70
A,5,117,17400,17430,30,69
G,5,117,17460,17490,30,67
A,5,117,17520,17880,360,69
A,5,117,29340,29400,60,69
A,5,117,29400,29430,30,69
A,5,117,29280,29460,180,69
G,5,117,29460,29580,120,67
A,5,117,29580,29610,30,69
A#,5,117,29610,29640,30,70
A,5,117,29640,29670,30,69
G,5,117,29700,29730,30,67
A,5,117,29760,29790,30,69
A,5,117,29820,29850,30,69
A,5,117,29880,29910,30,69
G,5,117,29940,30060,120,67
A,5,117,30060,30090,30,69
A#,5,117,30090,30120,30,70
A,5,117,30120,30150,30,69
G,5,117,30180,30210,30,67
A,5,117,30240,30270,30,69
A,5,117,30300,30330,30,69
A,5,117,30360,30390,30,69
G,5,117,30420,30540,120,67
A,5,117,30540,30570,30,69
A#,5,117,30570,30600,30,70
A,5,117,30600,30630,30,69
G,5,117,30660,30690,30,67
A,5,117,30720,30750,30,69
A,5,117,30780,30810,30,69
A,5,117,30840,30870,30,69
G,5,117,30900,31020,120,67
A,5,117,31020,31050,30,69
A#,5,117,31050,31080,30,70
A,5,117,31080,31110,30,69
G,5,117,31140,31170,30,67
A,5,117,31200,31230,30,69
A,5,117,31260,31290,30,69
A,5,117,31320,31350,30,69
G,5,117,31380,31500,120,67
A,5,117,31500,31530,30,69
A#,5,117,31530,31560,30,70
A,5,117,31560,31590,30,69
G,5,117,31620,31650,30,67
A,5,117,31680,31710,30,69
A,5,117,31740,31770,30,69
A,5,117,31800,31830,30,69
G,5,117,31860,31980,120,67
A,5,117,31980,32010,30,69
A#,5,117,32010,32040,30,70
A,5,117,32040,32070,30,69
G,5,117,32100,32130,30,67
A,5,117,32160,32190,30,69
A,5,117,32220,32250,30,69
A,5,117,32280,32310,30,69
G,5,117,32340,32460,120,67
A,5,117,32460,32490,30,69
A#,5,117,32490,32520,30,70
A,5,117,32520,32550,30,69
G,5,117,32580,32610,30,67
A,5,117,32640,32670,30,69
A,5,117,32700,32730,30,69
A,5,117,32760,32790,30,69
G,5,117,32820,32940,120,67
A,5,117,32940,32970,30,69
A#,5,117,32970,33000,30,70
A,5,117,33000,33030,30,69
G,5,117,33060,33090,30,67
D,6,127,33195,33201,6,74
E,6,127,33225,33231,6,76
E,6,117,33360,33480,120,76
E,6,117,33480,33600,120,76
E,6,117,33600,33720,120,76
E,6,117,33720,33750,30,76
E,6,117,33780,33900,120,76
E,6,117,33960,34080,120,76
A,5,117,34080,34110,30,69
A,5,117,34140,34170,30,69
A,5,117,34200,34230,30,69
G,5,117,34260,34380,120,67
A,5,117,34380,34410,30,69
A#,5,117,34410,34440,30,70
A,5,117,34440,34470,30,69
G,5,117,34500,34530,30,67
A,5,117,34560,34590,30,69
A,5,117,34620,34650,30,69
A,5,117,34680,34710,30,69
G,5,117,34740,34860,120,67
A,5,117,34860,34890,30,69
A#,5,117,34890,34920,30,70
A,5,117,34920,34950,30,69
D,6,117,35022,35033,11,74
D#,6,117,35040,35051,11,75
E,6,36,35051,35061,10,76
F,6,117,35340,35460,120,77
F,6,117,35520,35640,120,77
F,6,117,35700,35820,120,77
F,6,117,35820,35850,30,77
F,6,117,35880,35910,30,77
E,6,117,35940,35970,30,76
E,6,117,36000,36120,120,76
D,6,117,36180,36300,120,74
D,6,117,36360,36480,120,74
D,6,117,36480,36600,120,74
D,6,117,36660,36780,120,74
D,6,117,36780,36810,30,74
D,6,117,36840,36870,30,74
D,6,117,36900,36930,30,74
D,6,117,36960,36990,30,74
E,6,117,37020,37140,120,76
E,6,117,37140,37260,120,76
E,6,117,37320,37440,120,76
E,6,117,37440,37560,120,76
E,6,117,37620,37740,120,76
E,6,117,37800,37830,30,76
E,6,117,37860,37890,30,76
A,5,117,37920,37950,30,69
A,5,117,37980,38010,30,69
A,5,117,38040,38070,30,69
G,5,117,38100,38220,120,67
A,5,117,38220,38250,30,69
A#,5,117,38250,38280,30,70
A,5,117,38280,38310,30,69
G,5,117,38340,38370,30,67
A,5,117,38400,38430,30,69
A,5,117,38460,38490,30,69
A,5,117,38520,38550,30,69
G,5,117,38580,38700,120,67
A,5,117,38700,38730,30,69
A#,5,117,38730,38760,30,70
A,5,117,38760,38790,30,69
C,6,117,38827,38838,11,72
C#,6,117,38845,38856,11,73
D,6,117,38862,38873,11,74
D#,6,117,38880,38891,11,75
E,6,36,38891,38901,10,76
F,6,117,38910,39150,240,77
F,6,117,39180,39300,120,77
F,6,117,39360,39480,120,77
F,6,117,39540,39660,120,77
F,6,117,39660,39690,30,77
F,6,117,39720,39750,30,77
E,6,117,39780,39810,30,76
E,6,117,39840,39960,120,76
D,6,117,40020,40140,120,74
D,6,117,40200,40320,120,74
D,6,117,40320,40440,120,74
D,6,117,40500,40620,120,74
D,6,117,40620,40650,30,74
D,6,117,40680,40710,30,74
D#,6,117,40740,40770,30,75
E,6,117,40800,40920,120,76
E,6,117,40980,41100,120,76
E,6,117,41160,41280,120,76
E,6,117,41280,41400,120,76
E,6,117,41460,41580,120,76
E,6,117,41580,41610,30,76
E,6,117,41640,41760,120,76
A,5,117,41760,41790,30,69
A,5,117,41820,41850,30,69
A,5,117,41880,41910,30,69
G,5,117,41940,42060,120,67
A,5,117,42060,42090,30,69
A#,5,117,42090,42120,30,70
A,5,117,42120,42150,30,69
G,5,117,42180,42210,30,67
A,5,117,42240,42270,30,69
A,5,117,42300,42330,30,69
A,5,117,42360,42390,30,69
G,5,117,42420,42540,120,67
A,5,117,42540,42570,30,69
A#,5,117,42570,42600,30,70
A,5,117,42600,42630,30,69
G,5,117,42660,42690,30,67
A,5,117,42720,43080,360,69
A,5,107,0,30,30,69
A,5,107,60,90,30,69
A,5,107,120,150,30,69
A,5,107,300,330,30,69
A#,5,107,330,360,30,70
A,5,107,360,390,30,69
G,5,107,180,420,240,67
G,5,107,420,450,30,67
A,5,107,480,510,30,69
A,5,107,540,570,30,69
A,5,107,600,630,30,69
A,5,107,780,810,30,69
A#,5,107,810,840,30,70
A,5,107,840,870,30,69
G,5,107,660,900,240,67
G,5,107,900,930,30,67
A,5,107,960,990,30,69
A,5,107,1020,1050,30,69
A,5,107,1080,1110,30,69
A,5,107,1260,1290,30,69
A#,5,107,1290,1320,30,70
A,5,107,1320,1350,30,69
G,5,107,1140,1380,240,67
G,5,107,1380,1410,30,67
A,5,107,1440,1470,30,69
A,5,107,1500,1530,30,69
A,5,107,1560,1590,30,69
A,5,107,1740,1770,30,69
A#,5,107,1770,1800,30,70
A,5,107,1800,1830,30,69
G,5,107,1620,1860,240,67
G,5,107,1860,1890,30,67
A,5,107,1920,1950,30,69
A,5,107,1980,2010,30,69
A,5,107,2040,2070,30,69
A,5,107,2220,2250,30,69
A#,5,107,2250,2280,30,70
A,5,107,2280,2310,30,69
G,5,107,2100,2340,240,67
G,5,107,2340,2370,30,67
A,5,107,2400,2430,30,69
A,5,107,2460,2490,30,69
A,5,107,2520,2550,30,69
A,5,107,2700,2730,30,69
A#,5,107,2730,2760,30,70
A,5,107,2760,2790,30,69
G,5,107,2580,2820,240,67
G,5,107,2820,2850,30,67
A,5,107,2880,3360,480,69
A,5,107,14640,14670,30,69
A,5,107,14700,14730,30,69
A,5,107,14760,14790,30,69
A,5,107,14940,14970,30,69
A#,5,107,14970,15000,30,70
A,5,107,15000,15030,30,69
G,5,107,14820,15060,240,67
G,5,107,15060,15090,30,67
A,5,107,15120,15150,30,69
A,5,107,15180,15210,30,69
A,5,107,15240,15270,30,69
A,5,107,15420,15450,30,69
A#,5,107,15450,15480,30,70
A,5,107,15480,15510,30,69
G,5,107,15300,15540,240,67
G,5,107,15540,15570,30,67
A,5,107,15600,15630,30,69
A,5,107,15660,15690,30,69
A,5,107,15720,15750,30,69
A,5,107,15900,15930,30,69
A#,5,107,15930,15960,30,70
A,5,107,15960,15990,30,69
G,5,107,15780,16020,240,67
G,5,107,16020,16050,30,67
A,5,107,16080,16110,30,69
A,5,107,16140,16170,30,69
A,5,107,16200,16230,30,69
A,5,107,16380,16410,30,69
A#,5,107,16410,16440,30,70
A,5,107,16440,16470,30,69
G,5,107,16260,16500,240,67
G,5,107,16500,16530,30,67
A,5,107,16560,16590,30,69
A,5,107,16620,16650,30,69
A,5,107,16680,16710,30,69
A,5,107,16860,16890,30,69
A#,5,107,16890,16920,30,70
A,5,107,16920,16950,30,69
G,5,107,16740,16980,240,67
G,5,107,16980,17010,30,67
A,5,107,17040,17070,30,69
A,5,107,17100,17130,30,69
A,5,107,17160,17190,30,69
A,5,107,17340,17370,30,69
A#,5,107,17370,17400,30,70
A,5,107,17400,17430,30,69
G,5,107,17220,17460,240,67
G,5,107,17460,17490,30,67
A,5,107,17520,18000,480,69
A,5,107,29400,29430,30,69
E,5,107,29280,29520,240,64
A,5,107,29340,29520,180,69
A,4,107,29280,29520,240,57
A,5,107,29280,29580,300,69
A,5,107,29580,29610,30,69
A#,5,107,29610,29640,30,70
A,5,107,29640,29670,30,69
G,5,107,29460,29700,240,67
G,5,107,29700,29730,30,67
A,5,107,29760,29790,30,69
A,5,107,29820,29850,30,69
A,5,107,29880,29910,30,69
A,5,107,30060,30090,30,69
A#,5,107,30090,30120,30,70
A,5,107,30120,30150,30,69
G,5,107,29940,30180,240,67
G,5,107,30180,30210,30,67
A,5,107,30240,30270,30,69
A,5,107,30300,30330,30,69
A,5,107,30360,30390,30,69
A,5,107,30540,30570,30,69
A#,5,107,30570,30600,30,70
A,5,107,30600,30630,30,69
G,5,107,30420,30660,240,67
G,5,107,30660,30690,30,67
A,5,107,30720,30750,30,69
A,5,107,30780,30810,30,69
A,5,107,30840,30870,30,69
A,5,107,31020,31050,30,69
A#,5,107,31050,31080,30,70
A,5,107,31080,31110,30,69
G,5,107,30900,31140,240,67
G,5,107,31140,31170,30,67
A,5,107,31200,31230,30,69
A,5,107,31260,31290,30,69
A,5,107,31320,31350,30,69
A,5,107,31500,31530,30,69
A#,5,107,31530,31560,30,70
A,5,107,31560,31590,30,69
G,5,107,31380,31620,240,67
G,5,107,31620,31650,30,67
A,5,107,31680,31710,30,69
A,5,107,31740,31770,30,69
A,5,107,31800,31830,30,69
A,5,107,31980,32010,30,69
A#,5,107,32010,32040,30,70
A,5,107,32040,32070,30,69
G,5,107,31860,32100,240,67
G,5,107,32100,32130,30,67
A,5,107,32160,32190,30,69
A,5,107,32220,32250,30,69
A,5,107,32280,32310,30,69
A,5,107,32460,32490,30,69
A#,5,107,32490,32520,30,70
A,5,107,32520,32550,30,69
G,5,107,32340,32580,240,67
G,5,107,32580,32610,30,67
A,5,107,32640,32670,30,69
A,5,107,32700,32730,30,69
A,5,107,32760,32790,30,69
A,5,107,32940,32970,30,69
A#,5,107,32970,33000,30,70
A,5,107,33000,33030,30,69
G,5,107,32820,33060,240,67
G,5,107,33060,33090,30,67
D,6,106,33180,33186,6,74
D,6,106,33195,33201,6,74
E,6,106,33210,33216,6,76
E,6,106,33225,33231,6,76
D#,6,106,33240,33480,240,75
E,6,107,33480,33600,120,76
E,6,107,33600,33720,120,76
E,6,107,33720,33750,30,76
E,6,107,33780,33840,60,76
E,6,107,33960,34020,60,76
A,5,107,34080,34110,30,69
A,5,107,34140,34170,30,69
E,6,125,33360,34200,840,76
A,5,107,34200,34230,30,69
A,5,107,34380,34410,30,69
A#,5,107,34410,34440,30,70
A,5,107,34440,34470,30,69
G,5,107,34260,34500,240,67
G,5,107,34500,34530,30,67
A,5,107,34560,34590,30,69
A,5,107,34620,34650,30,69
A,5,107,34680,34710,30,69
A,5,107,34860,34890,30,69
A#,5,107,34890,34920,30,70
A,5,107,34920,34950,30,69
G,5,107,34740,34980,240,67
C,6,107,34987,34998,11,72
C#,6,107,35005,35016,11,73
D,6,107,35022,35033,11,74
D#,6,107,35040,35051,11,75
E,6,32,35051,35061,10,76
F,6,107,35070,35310,240,77
F,6,107,35520,35580,60,77
F,6,107,35700,35760,60,77
F,6,107,35820,35850,30,77
F,6,107,35880,35910,30,77
F,6,107,35340,35940,600,77
E,6,107,35940,35970,30,76
E,6,107,36000,36240,240,76
D,6,107,36360,36420,60,74
D,6,107,36480,36600,120,74
D,6,107,36660,36720,60,74
D,6,107,36780,36810,30,74
D,6,107,36840,36870,30,74
D,6,107,36180,36900,720,74
D,6,107,36900,36930,30,74
D,6,107,36960,36990,30,74
