letter,octave,velocity,time_on,time_off,duration,note_number
D,3,85,2280,2324,44,38
D,3,75,2400,2760,360,38
G,3,85,3240,3284,44,43
G,3,75,3360,3720,360,43
G,3,76,4200,4344,144,43
C,4,69,4680,4762,82,48
G,3,65,4740,4822,82,43
C,3,90,4800,5190,390,36
G,3,73,5160,5236,76,43
C,4,81,5280,5590,310,48
C,3,91,5640,5756,116,36
E,3,73,6240,6554,314,40
E,3,87,6600,6720,120,40
A,2,81,6720,7094,374,33
E,3,80,7080,7132,52,40
E,3,82,7200,7480,280,40
E,3,64,7560,7628,68,40
E,3,76,7680,8044,364,40
B,2,73,8160,8474,314,35
B,2,87,8520,8640,120,35
F,3,83,9000,9048,48,41
F,3,78,9120,9430,310,41
F,3,75,9480,9528,48,41
F,3,85,9600,9906,306,41
F,3,83,9960,10008,48,41
F,3,78,10080,10390,310,41
F,3,75,10440,10488,48,41
G,3,79,10560,10866,306,43
G,3,85,10920,10964,44,43
G,3,75,11040,11400,360,43
D,4,72,11400,11512,112,50
G,3,76,11520,11884,364,43
D,3,83,11880,11942,62,38
D,3,73,12000,12314,314,38
D,3,87,12360,12480,120,38
C,3,85,12480,12786,306,36
C,3,83,12840,12888,48,36
C,3,78,12960,13270,310,36
C,3,75,13320,13368,48,36
C,3,76,13440,13804,364,36
G,2,73,13920,14234,314,31
G,2,87,14280,14400,120,31
F,3,83,14760,14822,62,41
F,3,73,14880,15194,314,41
F,3,87,15240,15360,120,41
A#,2,86,15360,15742,382,34
F,3,76,15720,15864,144,41
A#,3,69,16200,16282,82,46
F,3,65,16260,16320,60,41
C,3,76,16320,16684,364,36
G,3,83,16680,16742,62,43
G,3,73,16800,17114,314,43
G,3,87,17160,17280,120,43
C,3,76,17280,17644,364,36
G,3,83,17640,17702,62,43
G,3,73,17760,18074,314,43
G,3,87,18120,18240,120,43
D,3,93,18240,18622,382,38
A,3,83,18600,18744,144,45
D,4,84,18720,19012,292,50
D,4,76,19080,19162,82,50
A,3,72,19140,19200,60,45
G,3,86,19200,19506,306,43
G,3,92,19560,19604,44,43
G,3,82,19680,20040,360,43
D,4,79,20040,20152,112,50
C,3,86,20160,20466,306,36
C,3,92,20520,20564,44,36
C,3,82,20640,21000,360,36
G,3,79,21000,21112,112,43
C,3,92,21120,21428,308,36
C,3,90,21480,21534,54,36
C,3,83,21600,21970,370,36
G,3,81,21960,22046,86,43
A,2,92,22080,22386,306,33
A,2,90,22440,22488,48,33
A,2,85,22560,22870,310,33
A,2,82,22920,22968,48,33
A,2,86,23040,23358,318,33
A,2,86,23400,23438,38,33
A,2,74,23520,23832,312,33
A,2,88,23880,23954,74,33
E,3,86,24000,24306,306,40
E,3,92,24360,24404,44,40
E,3,82,24480,24840,360,40
F,3,86,24960,25266,306,41
F,3,92,25320,25364,44,41
F,3,82,25440,25800,360,41
C,4,79,25800,25912,112,48
F,3,83,25920,26284,364,41
C,3,90,26280,26342,62,36
C,3,80,26400,26714,314,36
C,3,94,26760,26880,120,36
G,3,83,26880,27244,364,43
D,3,90,27240,27302,62,38
D,3,80,27360,27674,314,38
D,3,94,27720,27840,120,38
G,3,92,27840,28146,306,43
G,3,90,28200,28248,48,43
G,3,85,28320,28630,310,43
G,3,82,28680,28728,48,43
C,3,83,28800,29164,364,36
G,3,90,29160,29222,62,43
G,3,80,29280,29594,314,43
G,3,94,29640,29760,120,43
C,3,86,29760,30066,306,36
C,3,92,30120,30164,44,36
C,3,82,30240,30600,360,36
G,3,79,30600,30712,112,43
A#,2,83,30720,31084,364,34
F,3,90,31080,31142,62,41
F,3,80,31200,31514,314,41
F,3,94,31560,31680,120,41
A#,2,86,31680,31986,306,34
A#,2,92,32040,32084,44,34
A#,2,82,32160,32520,360,34
F,3,79,32520,32632,112,41
C,3,93,32640,33022,382,36
G,3,83,33000,33144,144,43
C,4,84,33120,33412,292,48
C,4,76,33480,33562,82,48
G,3,72,33540,33600,60,43
C,3,86,33600,33906,306,36
C,3,92,33960,34004,44,36
C,3,82,34080,34440,360,36
G,3,79,34440,34552,112,43
D,3,79,34560,34866,306,38
D,3,85,34920,34964,44,38
D,3,75,35040,35400,360,38
A,3,72,35400,35512,112,45
G,3,79,35520,35826,306,43
G,3,85,35880,35924,44,43
G,3,75,36000,36360,360,43
D,4,72,36360,36472,112,50
C,3,85,36480,36786,306,36
C,3,83,36840,36888,48,36
C,3,78,36960,37270,310,36
C,3,75,37320,37368,48,36
C,3,79,37440,37758,318,36
C,3,79,37800,37838,38,36
C,3,67,37920,38232,312,36
C,3,81,38280,38354,74,36
A,2,79,38400,38706,306,33
A,2,85,38760,38804,44,33
A,2,75,38880,39240,360,33
E,3,72,39240,39352,112,40
A,2,85,39360,39668,308,33
A,2,83,39720,39774,54,33
A,2,76,39840,40210,370,33
E,3,74,40200,40286,86,40
E,3,85,40320,40626,306,40
E,3,83,40680,40728,48,40
E,3,78,40800,41110,310,40
E,3,75,41160,41208,48,40
F,3,85,41280,41586,306,41
F,3,83,41640,41688,48,41
F,3,78,41760,42070,310,41
F,3,75,42120,42168,48,41
F,3,79,42240,42546,306,41
F,3,85,42600,42644,44,41
F,3,75,42720,43080,360,41
C,4,72,43080,43192,112,48
G,3,76,43200,43564,364,43
D,3,83,43560,43622,62,38
D,3,73,43680,43994,314,38
D,3,87,44040,44160,120,38
G,3,85,44160,44466,306,43
G,3,83,44520,44568,48,43
G,3,78,44640,44950,310,43
G,3,75,45000,45048,48,43
C,3,85,45120,45426,306,36
C,3,83,45480,45528,48,36
C,3,78,45600,45910,310,36
C,3,75,45960,46008,48,36
C,3,79,46080,46386,306,36
C,3,85,46440,46484,44,36
C,3,75,46560,46920,360,36
G,3,72,46920,47032,112,43
A#,2,79,47040,47346,306,34
A#,2,85,47400,47444,44,34
A#,2,75,47520,47880,360,34
F,3,72,47880,47992,112,41
A#,2,85,48000,48306,306,34
A#,2,83,48360,48408,48,34
A#,2,78,48480,48790,310,34
A#,2,75,48840,48888,48,34
C,3,85,48960,49266,306,36
C,3,83,49320,49368,48,36
C,3,78,49440,49750,310,36
C,3,75,49800,49848,48,36
C,3,85,49920,50226,306,36
C,3,83,50280,50328,48,36
C,3,78,50400,50710,310,36
C,3,75,50760,50808,48,36
D,3,83,50880,51244,364,38
A,2,90,51240,51302,62,33
A,2,80,51360,51674,314,33
A,2,94,51720,51840,120,33
D,3,88,51840,52214,374,38
A,2,87,52200,52252,52,33
A,2,89,52320,52600,280,33
A,2,71,52680,52748,68,33
C,3,92,52800,53106,306,36
C,3,90,53160,53208,48,36
G,3,92,53280,53586,306,43
G,3,90,53640,53688,48,43
G,3,86,53760,54074,314,43
G,3,88,54120,54174,54,43
G,3,76,54240,54608,368,43
D,3,82,54600,54720,120,38
C,3,86,54720,55026,306,36
C,3,92,55080,55124,44,36
C,3,82,55200,55560,360,36
G,3,79,55560,55672,112,43
A#,2,93,55680,56062,382,34
F,3,83,56040,56184,144,41
A#,3,84,56160,56452,292,46
A#,3,76,56520,56602,82,46
F,3,72,56580,56640,60,41
C,3,93,56640,57022,382,36
G,3,83,57000,57144,144,43
C,4,84,57120,57412,292,48
C,4,76,57480,57562,82,48
G,3,72,57540,57600,60,43
A#,2,83,57600,57964,364,34
F,3,90,57960,58022,62,41
F,3,80,58080,58394,314,41
F,3,94,58440,58560,120,41
C,3,93,58560,58942,382,36
G,3,83,58920,59064,144,43
C,4,84,59040,59332,292,48
C,4,76,59400,59482,82,48
G,3,72,59460,59520,60,43
C,3,77,59520,59888,368,36
G,3,86,59880,59976,96,43
C,3,77,60000,60374,374,36
G,3,80,60360,60458,98,43
C,3,86,60480,60542,62,36
C,3,97,60600,60708,108,36
G,3,92,60720,60942,222,43
C,3,88,60960,61440,480,36
E,3,50,1920,1970,50,40
B,2,50,1920,1970,50,35
E,3,40,1980,2030,50,40
E,3,50,2040,2090,50,40
E,3,40,2100,2150,50,40
E,3,70,2160,2210,50,40
F#,3,50,2160,2210,50,42
D,3,40,2160,2210,50,38
E,3,40,2220,2270,50,40
E,3,50,2280,2330,50,40
F#,3,50,2280,2330,50,42
B,2,40,2280,2330,50,35
E,3,40,2340,2390,50,40
E,3,50,2400,2450,50,40
F#,3,50,2400,2450,50,42
B,2,50,2400,2450,50,35
E,3,40,2460,2510,50,40
E,3,50,2520,2570,50,40
F#,3,50,2520,2570,50,42
E,3,40,2580,2630,50,40
E,3,70,2640,2690,50,40
A#,5,50,2640,2690,50,70
C#,3,60,2640,2690,50,37
F#,3,50,2640,2690,50,42
D,3,40,2640,2690,50,38
E,3,40,2700,2750,50,40
E,3,50,2760,2810,50,40
F#,3,50,2760,2810,50,42
E,3,40,2820,2870,50,40
E,3,50,2880,2930,50,40
B,2,50,2880,2930,50,35
E,3,40,2940,2990,50,40
E,3,50,3000,3050,50,40
F#,3,50,3000,3050,50,42
E,3,40,3060,3110,50,40
E,3,70,3120,3170,50,40
A#,5,50,3120,3170,50,70
C#,3,60,3120,3170,50,37
F#,3,50,3120,3170,50,42
D,3,40,3120,3170,50,38
E,3,40,3180,3230,50,40
E,3,50,3240,3290,50,40
F#,3,50,3240,3290,50,42
B,2,40,3240,3290,50,35
E,3,40,3300,3350,50,40
E,3,50,3360,3410,50,40
F#,3,50,3360,3410,50,42
B,2,50,3360,3410,50,35
E,3,40,3420,3470,50,40
E,3,50,3480,3530,50,40
F#,3,50,3480,3530,50,42
E,3,40,3540,3590,50,40
E,3,70,3600,3650,50,40
A#,5,50,3600,3650,50,70
C#,3,60,3600,3650,50,37
F#,3,50,3600,3650,50,42
D,3,40,3600,3650,50,38
E,3,40,3660,3710,50,40
E,3,50,3720,3770,50,40
F#,3,50,3720,3770,50,42
E,3,40,3780,3830,50,40
E,3,50,3840,3890,50,40
B,2,50,3840,3890,50,35
E,3,40,3900,3950,50,40
E,3,50,3960,4010,50,40
F#,3,50,3960,4010,50,42
